,Datum,Tijd,Parameter,Locatie,Waarde,Verwachting,Eenheid,Windrichting,Windrichting eenheid,Bemonsteringshoogte,Referentievlak,Unnamed: 11
35,28-4-2021,19:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.54,,m/s,5.7,graden,2910.0,NVT,
36,28-4-2021,19:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.66,,m/s,6.9,graden,2910.0,NVT,
37,28-4-2021,19:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.03,,m/s,7.6,graden,2910.0,NVT,
38,28-4-2021,19:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.99,,m/s,6.6,graden,2910.0,NVT,
39,28-4-2021,20:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.86,,m/s,6.3,graden,2910.0,NVT,
40,28-4-2021,20:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.99,,m/s,5.4,graden,2910.0,NVT,
41,28-4-2021,20:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.41,,m/s,6.1,graden,2910.0,NVT,
42,28-4-2021,20:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.72,,m/s,6.1,graden,2910.0,NVT,
43,28-4-2021,20:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.89,,m/s,6.5,graden,2910.0,NVT,
44,28-4-2021,20:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.65,,m/s,7.4,graden,2910.0,NVT,
45,28-4-2021,21:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.96,,m/s,7.5,graden,2910.0,NVT,
46,28-4-2021,21:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.33,,m/s,7.7,graden,2910.0,NVT,
47,28-4-2021,21:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.45,,m/s,7.1,graden,2910.0,NVT,
48,28-4-2021,21:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.55,,m/s,6.1,graden,2910.0,NVT,
49,28-4-2021,21:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.54,,m/s,5.7,graden,2910.0,NVT,
50,28-4-2021,21:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.17,,m/s,5.2,graden,2910.0,NVT,
51,28-4-2021,22:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,12.33,,m/s,7.6,graden,2910.0,NVT,
52,28-4-2021,22:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.82,,m/s,9.4,graden,2910.0,NVT,
53,28-4-2021,22:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.94,,m/s,9.8,graden,2910.0,NVT,
54,28-4-2021,22:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.32,,m/s,7.5,graden,2910.0,NVT,
55,28-4-2021,22:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.62,,m/s,6.1,graden,2910.0,NVT,
56,28-4-2021,22:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.32,,m/s,3.3,graden,2910.0,NVT,
57,28-4-2021,23:00:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,11.03,,m/s,5.9,graden,2910.0,NVT,
58,28-4-2021,23:10:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,10.2,,m/s,8.5,graden,2910.0,NVT,
59,28-4-2021,23:20:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.5,,m/s,8.8,graden,2910.0,NVT,
60,28-4-2021,23:30:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.9,,m/s,6.0,graden,2910.0,NVT,
61,28-4-2021,23:40:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.81,,m/s,0.8,graden,2910.0,NVT,
62,28-4-2021,23:50:00,Windsnelheid Lucht t.o.v. Mean Sea Level in m/s,Europlatform,9.87,,m/s,355.6,graden,2910.0,NVT,
